Date,Open,High,Low,Adj Close,Volume,Stock Name
26-12-2019,40.59,40.82,40.509998,40.068951,88800,DR.REDDY
27-12-2019,40.869999,40.900002,40.57,40.148079,97100,DR.REDDY
30-12-2019,40.619999,41.009998,40.619999,40.306335,70400,DR.REDDY
31-12-2019,40.48,40.689999,40.110001,40.138187,48800,DR.REDDY
02-01-2020,40.48,40.709999,40.080002,40.029388,53100,DR.REDDY
03-01-2020,40.060001,40.459999,40.060001,39.821671,46900,DR.REDDY
06-01-2020,39.98,40.119999,39.630001,39.623852,61800,DR.REDDY
07-01-2020,40.139999,40.349998,39.82,39.831562,98600,DR.REDDY
08-01-2020,40.32,40.970001,40.290001,40.434921,99900,DR.REDDY
09-01-2020,40.970001,41.77,40.939999,40.791004,256800,DR.REDDY
10-01-2020,41.450001,41.48,40.970001,40.612961,101900,DR.REDDY
13-01-2020,41.400002,41.689999,41.279999,41.156975,318100,DR.REDDY
14-01-2020,41.549999,41.990002,41.389999,41.433926,143000,DR.REDDY
15-01-2020,41.470001,41.740002,41.279999,41.137192,94700,DR.REDDY
16-01-2020,41.380001,41.52,40.23,40.810783,685000,DR.REDDY
17-01-2020,42.259998,42.57,41.91,41.987827,244500,DR.REDDY
21-01-2020,42.540001,42.82,42.279999,42.116413,208700,DR.REDDY
22-01-2020,42.650002,42.91,42.48,42.116413,213100,DR.REDDY
23-01-2020,42.25,42.52,42.18,41.888916,173700,DR.REDDY
24-01-2020,42.349998,42.560001,41.849998,41.542725,172100,DR.REDDY
27-01-2020,44.200001,44.68,43.759998,43.73856,575500,DR.REDDY
28-01-2020,43.84,44.52,43.77,44.005619,415200,DR.REDDY
29-01-2020,44.150002,44.689999,43.990002,43.877033,163600,DR.REDDY
30-01-2020,44,44.23,43.630001,43.669323,154800,DR.REDDY
31-01-2020,43.779999,44.049999,43.549999,43.204437,227700,DR.REDDY
03-02-2020,44.02,44.43,43.810001,43.619865,212300,DR.REDDY
04-02-2020,45,46,45,45.340919,286800,DR.REDDY
05-02-2020,44.84,44.84,44.009998,44.015511,304400,DR.REDDY
06-02-2020,44.939999,45.080002,44.529999,44.332027,219600,DR.REDDY
07-02-2020,44.459999,44.459999,44.029999,43.679211,168100,DR.REDDY
10-02-2020,44.139999,44.419998,43.91,43.540737,122100,DR.REDDY
11-02-2020,44.509998,44.700001,44.279999,44.045181,145700,DR.REDDY
12-02-2020,45,45,44.48,44.183655,235500,DR.REDDY
13-02-2020,45.669998,46.189999,45.669998,45.350811,392900,DR.REDDY
14-02-2020,45.830002,46.009998,45.27,44.955166,277800,DR.REDDY
18-02-2020,45.5,45.709999,45.119999,44.767235,135500,DR.REDDY
19-02-2020,45.630001,45.830002,45.380001,45.152988,114300,DR.REDDY
20-02-2020,45.220001,45.34,44.310001,44.361694,105600,DR.REDDY
21-02-2020,44.799999,45.279999,44.669998,44.312241,108100,DR.REDDY
24-02-2020,44.23,44.23,43.43,43.135201,146200,DR.REDDY
25-02-2020,43.139999,43.389999,42.5,42.205429,146800,DR.REDDY
26-02-2020,42.799999,43.27,42.68,42.610973,107400,DR.REDDY
27-02-2020,42.619999,43.110001,42.09,41.631748,142700,DR.REDDY
28-02-2020,40.57,40.790001,39.900002,39.722759,317900,DR.REDDY
02-03-2020,40.099998,40.450001,39.869999,39.693089,198600,DR.REDDY
03-03-2020,41.16,41.93,40.959999,40.731655,149700,DR.REDDY
04-03-2020,42.18,42.880001,41.939999,42.235107,160100,DR.REDDY
05-03-2020,42.349998,43.09,42.299999,41.948265,159500,DR.REDDY
06-03-2020,41.82,42.73,41.82,42.066956,126400,DR.REDDY
09-03-2020,40.27,40.860001,40.09,39.663414,168800,DR.REDDY
10-03-2020,41.099998,41.389999,40.060001,40.711872,156300,DR.REDDY
11-03-2020,40.389999,40.610001,39.799999,39.732651,131800,DR.REDDY
12-03-2020,37.790001,38.060001,36.380001,37.101608,288500,DR.REDDY
13-03-2020,38.970001,39.509998,37.939999,38.436916,228500,DR.REDDY
16-03-2020,36.360001,37.709999,35.240002,35.3311,220800,DR.REDDY
17-03-2020,36.59,37.240002,36.07,36.686184,369100,DR.REDDY
18-03-2020,35.5,36.130001,33.330002,34.371662,207200,DR.REDDY
19-03-2020,34.580002,35.889999,34.220001,35.093716,183700,DR.REDDY
20-03-2020,36.48,38.360001,36.48,36.448799,222800,DR.REDDY
23-03-2020,36.080002,36.939999,34.900002,36.280651,303600,DR.REDDY
24-03-2020,37.43,39.07,37.310001,37.764317,455600,DR.REDDY
25-03-2020,38.189999,40.630001,37.57,39.564503,402200,DR.REDDY
26-03-2020,39.630001,40.689999,39.630001,39.930473,269300,DR.REDDY
27-03-2020,39.259998,39.450001,37.610001,38.169857,292300,DR.REDDY
30-03-2020,39.43,40.529999,39.220001,39.821671,199900,DR.REDDY
31-03-2020,41.400002,41.639999,40.279999,39.890911,260800,DR.REDDY
01-04-2020,38.709999,40.439999,38.709999,39.1194,215500,DR.REDDY
02-04-2020,39.610001,40.799999,39.389999,40.019493,157900,DR.REDDY
03-04-2020,40.5,41.200001,40.369999,40.701984,116100,DR.REDDY
06-04-2020,42,42.599998,41.799999,41.879025,109200,DR.REDDY
07-04-2020,47.009998,47.220001,44.290001,44.10453,410700,DR.REDDY
08-04-2020,47,48.349998,45.509998,47.665337,707700,DR.REDDY
09-04-2020,47.810001,48.75,46.400002,46.359707,284200,DR.REDDY
13-04-2020,48.099998,49.27,48.099998,48.565426,245900,DR.REDDY
14-04-2020,48.959999,50.27,48.959999,49.366608,248200,DR.REDDY
15-04-2020,48.759998,49.639999,48.279999,48.802814,239600,DR.REDDY
16-04-2020,50,50.84,49.880001,50.197464,336000,DR.REDDY
17-04-2020,51.619999,52.560001,49.68,50.44474,313200,DR.REDDY
20-04-2020,50.330002,51.610001,50.150002,49.613888,229700,DR.REDDY
21-04-2020,51.299999,51.48,50.23,50.316154,325800,DR.REDDY
22-04-2020,51.799999,53.23,51.799999,52.264709,286900,DR.REDDY
23-04-2020,52.330002,52.84,52.119999,52.195469,149200,DR.REDDY
24-04-2020,52.68,52.73,51.27,51.255814,310900,DR.REDDY
27-04-2020,52.52,52.93,52.209999,52.056995,128700,DR.REDDY
28-04-2020,52.299999,52.299999,51.330002,50.771149,235000,DR.REDDY
29-04-2020,51.27,51.779999,50.389999,50.87006,235000,DR.REDDY
30-04-2020,51.490002,51.689999,50.779999,50.632671,174200,DR.REDDY
01-05-2020,50.450001,50.919998,50.220001,49.979855,79200,DR.REDDY
04-05-2020,51,51.860001,50.68,51.147011,184000,DR.REDDY
05-05-2020,50.43,50.959999,50.110001,50.068878,173400,DR.REDDY
06-05-2020,50.57,52.290001,50.439999,50.850277,187600,DR.REDDY
07-05-2020,51.16,51.299999,50.169998,49.861164,265700,DR.REDDY
08-05-2020,53.639999,53.639999,51.709999,51.789932,199200,DR.REDDY
11-05-2020,51.080002,51.919998,50.689999,51.008537,260600,DR.REDDY
12-05-2020,51.189999,51.970001,50.5,50.296371,218100,DR.REDDY
13-05-2020,50.889999,51.389999,49.84,49.346825,210000,DR.REDDY
14-05-2020,49.389999,50.450001,49.259998,49.821602,326800,DR.REDDY
15-05-2020,49.98,49.990002,49.34,49.119331,227200,DR.REDDY
18-05-2020,49.689999,49.84,49.07,48.773144,147500,DR.REDDY
19-05-2020,49.330002,49.330002,48.57,48.140106,244900,DR.REDDY
20-05-2020,51.900002,52.93,50.610001,51.176685,405000,DR.REDDY
21-05-2020,50.900002,50.900002,49.759998,50.019421,230900,DR.REDDY
22-05-2020,51.02,51.630001,50.490002,50.850277,236400,DR.REDDY
26-05-2020,51.650002,51.650002,50.639999,50.385391,145300,DR.REDDY
27-05-2020,51.630001,51.630001,50.09,50.197464,222000,DR.REDDY
28-05-2020,51.5,51.790001,51.049999,50.860165,217500,DR.REDDY
29-05-2020,53,53.73,52.400002,52.858177,565400,DR.REDDY
01-06-2020,52.799999,53.349998,52.029999,51.898739,140900,DR.REDDY
02-06-2020,52.25,52.860001,51.830002,51.888847,192200,DR.REDDY
03-06-2020,53.130001,53.27,52.259998,51.700912,130200,DR.REDDY
04-06-2020,52.330002,53.119999,52.27,52.393295,142100,DR.REDDY
05-06-2020,53.349998,53.880001,53.02,52.462532,134500,DR.REDDY
08-06-2020,52.630001,52.720001,52,51.740479,104500,DR.REDDY
09-06-2020,53.779999,54.830002,53.610001,54.055004,286600,DR.REDDY
10-06-2020,54.32,54.860001,53.790001,53.837399,282100,DR.REDDY
11-06-2020,52.889999,53.200001,51.830002,51.948193,165900,DR.REDDY
12-06-2020,52.189999,53.709999,52.02,51.829498,102900,DR.REDDY
15-06-2020,52.41,54.119999,52.400002,53.26371,309500,DR.REDDY
16-06-2020,52.619999,53.080002,52.419998,52.492203,244700,DR.REDDY
17-06-2020,52.84,54.5,52.66,52.858177,397200,DR.REDDY
18-06-2020,52.93,53.790001,52.84,52.709808,144700,DR.REDDY
19-06-2020,53.41,53.580002,52.82,52.601009,370900,DR.REDDY
22-06-2020,53.66,53.66,53.119999,52.660355,207800,DR.REDDY
23-06-2020,54.560001,55.189999,54.279999,53.748379,187900,DR.REDDY
24-06-2020,53.77,53.77,52.650002,52.541656,96900,DR.REDDY
25-06-2020,53.029999,53.540001,52.639999,52.630676,144300,DR.REDDY
26-06-2020,52.970001,52.990002,51.970001,51.62178,109800,DR.REDDY
29-06-2020,52.529999,53.259998,52.139999,52.452637,162700,DR.REDDY
30-06-2020,52.389999,53.470001,52.049999,52.432858,171200,DR.REDDY
01-07-2020,52.59,52.669998,52.119999,51.730587,175900,DR.REDDY
02-07-2020,53.639999,53.639999,52.57,52.304272,172500,DR.REDDY
06-07-2020,52.790001,52.790001,52.119999,51.750366,165600,DR.REDDY
07-07-2020,51.709999,52.310001,51.119999,50.889843,163700,DR.REDDY
08-07-2020,51.799999,52.529999,51.799999,51.691021,107900,DR.REDDY
09-07-2020,52,52.41,51.419998,51.32505,225800,DR.REDDY
10-07-2020,51.549999,52.169998,51.509998,51.776375,147500,DR.REDDY
13-07-2020,52.189999,52.490002,51.240002,51.159161,112600,DR.REDDY
14-07-2020,52.5,53.049999,52.209999,52.771885,163600,DR.REDDY
15-07-2020,53.970001,53.970001,53.450001,53.44883,107300,DR.REDDY
16-07-2020,54.82,55,54.259998,54.573757,233200,DR.REDDY
17-07-2020,54.84,55.18,54.82,54.723083,114500,DR.REDDY
20-07-2020,54.900002,55.150002,54.330002,54.742992,158600,DR.REDDY
21-07-2020,54.740002,55.32,54.209999,54.324879,318200,DR.REDDY
22-07-2020,54.830002,55.349998,54.509998,54.50407,87700,DR.REDDY
23-07-2020,55.09,55.290001,53.93,54.22533,182100,DR.REDDY
24-07-2020,54.040001,54.540001,53.650002,54.265148,210500,DR.REDDY
27-07-2020,54.23,54.259998,53.549999,53.409012,111800,DR.REDDY
28-07-2020,53.84,54.959999,53.689999,54.235283,180100,DR.REDDY
29-07-2020,57.93,58.860001,56.77,58.356686,333300,DR.REDDY
